기준지역,평균가격,물가
강원도 강릉시,8753.455285,7070.6
강원도 고성군,16809.84848,7070.6
강원도 동해시,12623.42342,7070.6
강원도 삼척시,10529.41176,7070.6
강원도 속초시,17058.33333,7070.6
강원도 양구군,12621.56863,7070.6
강원도 양양군,18000,7070.6
강원도 영월군,9402.777778,7070.6
강원도 원주시,9906.127451,7070.6
강원도 인제군,17823.52941,7070.6
강원도 정선군,25166.66667,7070.6
강원도 철원군,9395.555556,7070.6
강원도 춘천시,12942.85714,7070.6
강원도 태백시,27809.52381,7070.6
강원도 평창군,8255.555556,7070.6
강원도 홍천군,11715.68627,7070.6
강원도 화천군,9566.666667,7070.6
강원도 횡성군,17465.15152,7070.6
경기도 가평군,8907.142857,7109.3
경기도 고양시 덕양구,20354.32099,7109.3
경기도 고양시 일산동구,9708.333333,7109.3
경기도 고양시 일산서구,10595.2381,7109.3
경기도 과천시,9160.714286,7109.3
경기도 광명시,13254.16667,7109.3
경기도 광주시,7926.388889,7109.3
경기도 구리시,10130.55556,7109.3
경기도 군포시,10990.47619,7109.3
경기도 김포시,14666.66667,7109.3
경기도 남양주시,12691.66667,7109.3
경기도 동두천시,10444.44444,7109.3
경기도 부천시,8233.333333,7109.3
경기도 성남시 분당구,8500,7109.3
경기도 성남시 수정구,13456.66667,7109.3
경기도 성남시 중원구,12500,7109.3
경기도 수원시 권선구,13062.5,7109.3
경기도 수원시 영통구,14281.48148,7109.3
경기도 수원시 장안구,11719.60784,7109.3
경기도 수원시 팔달구,7316.666667,7109.3
경기도 시흥시,49158.33333,7109.3
경기도 안산시 단원구,10615.21739,7109.3
경기도 안산시 상록구,12709.09091,7109.3
경기도 안성시,11407.38889,7109.3
경기도 안양시 동안구,16904.16667,7109.3
경기도 안양시 만안구,11807.01754,7109.3
경기도 양주시,24609.64912,7109.3
경기도 양평군,10092.52874,7109.3
경기도 여주시,7000,7109.3
경기도 연천군,14846.15385,7109.3
경기도 오산시,12218.75,7109.3
경기도 용인시 기흥구,5000,7109.3
경기도 용인시 수지구,10666.66667,7109.3
경기도 용인시 처인구,8400,7109.3
경기도 의왕시,9466.666667,7109.3
경기도 의정부시,7530.272109,7109.3
경기도 이천시,9522.222222,7109.3
경기도 파주시,12511.11111,7109.3
경기도 평택시,7150,7109.3
경기도 포천시,7964.285714,7109.3
경기도 하남시,9875.376812,7109.3
경기도 화성시,9761.111111,7109.3
경상남도 거제시,11359.84848,7106.3
경상남도 거창군,5865,7106.3
경상남도 고성군,7138.888889,7106.3
경상남도 김해시,8917.583333,7106.3
경상남도 남해군,13388.88889,7106.3
경상남도 밀양시,8306.060606,7106.3
경상남도 사천시,7807.692308,7106.3
경상남도 산청군,15333.33333,7106.3
경상남도 양산시,13600,7106.3
경상남도 의령군,7022.727273,7106.3
경상남도 진주시,10403.57143,7106.3
경상남도 창녕군,11296.2963,7106.3
경상남도 창원시 마산합포구,12176.47059,7106.3
경상남도 창원시 마산회원구,14571.42857,7106.3
경상남도 창원시 성산구,11900,7106.3
경상남도 창원시 의창구,7833.333333,7106.3
경상남도 창원시 진해구,10800,7106.3
경상남도 통영시,7197.916667,7106.3
경상남도 하동군,16261.90476,7106.3
경상남도 함안군,7136.363636,7106.3
경상남도 함양군,6635.416667,7106.3
경상남도 합천군,9857.142857,7106.3
경상북도 경산시,7116.666667,7063.233333
경상북도 경주시,6557.326667,7063.233333
경상북도 고령군,13759.25926,7063.233333
경상북도 구미시,8779.91453,7063.233333
경상북도 군위군,14882.35294,7063.233333
경상북도 김천시,11275.75758,7063.233333
경상북도 문경시,7552.083333,7063.233333
경상북도 봉화군,15272.72727,7063.233333
경상북도 상주시,11041.66667,7063.233333
경상북도 성주군,13170.58824,7063.233333
경상북도 안동시,11117.33333,7063.233333
경상북도 영덕군,21375,7063.233333
경상북도 영양군,6083.333333,7063.233333
경상북도 영주시,7919.285714,7063.233333
경상북도 영천시,7625,7063.233333
경상북도 예천군,15333.33333,7063.233333
경상북도 울릉군,36533.33333,7063.233333
경상북도 울진군,6444.444444,7063.233333
경상북도 의성군,10608.69565,7063.233333
경상북도 청도군,7000,7063.233333
경상북도 청송군,6500,7063.233333
경상북도 칠곡군,7666.666667,7063.233333
경상북도 포항시 남구,10882.71605,7063.233333
경상북도 포항시 북구,12844.04762,7063.233333
전라남도 강진군,14547.61905,7041.8
전라남도 고흥군,10400,7041.8
전라남도 곡성군,10647.05882,7041.8
전라남도 광양시,8643.410853,7041.8
전라남도 구례군,7500,7041.8
전라남도 나주시,13208.33333,7041.8
전라남도 담양군,24763.88889,7041.8
전라남도 목포시,11086.41975,7041.8
전라남도 무안군,20633.33333,7041.8
전라남도 보성군,15500,7041.8
전라남도 순천시,10902.77778,7041.8
전라남도 신안군,11392.85714,7041.8
전라남도 여수시,11715.33333,7041.8
전라남도 영광군,12250,7041.8
전라남도 영암군,20148.14815,7041.8
전라남도 완도군,13333.33333,7041.8
전라남도 장성군,6000,7041.8
전라남도 장흥군,6479.166667,7041.8
전라남도 진도군,15858.97436,7041.8
전라남도 함평군,9194.444444,7041.8
전라남도 해남군,10726.19048,7041.8
전라남도 화순군,9030.30303,7041.8
전라북도 고창군,14413.04348,7024.3
전라북도 군산시,10536,7024.3
전라북도 김제시,18181.81818,7024.3
전라북도 남원시,10000,7024.3
전라북도 무주군,8000,7024.3
전라북도 부안군,15733.33333,7024.3
전라북도 순창군,11466.66667,7024.3
전라북도 완주군,10800,7024.3
전라북도 익산시,6886.111111,7024.3
전라북도 임실군,11539.21569,7024.3
전라북도 장수군,11495.37037,7024.3
전라북도 전주시 덕진구,11458.33333,7024.3
전라북도 전주시 완산구,10333.33333,7024.3
전라북도 정읍시,8760.416667,7024.3
전라북도 진안군,6611.111111,7024.3
제주특별자치도 서귀포시,13509.80392,8537.6
제주특별자치도 제주시,13843.84921,8537.6
충청남도 계룡시,11799.07407,7073.2
충청남도 공주시,8587.719298,7073.2
충청남도 금산군,6428.571429,7073.2
충청남도 논산시,13250,7073.2
충청남도 당진시,11580.72917,7073.2
충청남도 보령시,12546.2963,7073.2
충청남도 부여군,11722.22222,7073.2
충청남도 서산시,8166.666667,7073.2
충청남도 서천군,13716.66667,7073.2
충청남도 아산시,7880,7073.2
충청남도 예산군,9833.333333,7073.2
충청남도 천안시 동남구,12341.17647,7073.2
충청남도 천안시 서북구,13982.90598,7073.2
충청남도 청양군,5744.444444,7073.2
충청남도 태안군,11602.5641,7073.2
충청남도 홍성군,7773.333333,7073.2
충청북도 괴산군,14621.21212,7025.966667
충청북도 단양군,11198.24561,7025.966667
충청북도 보은군,14201.75439,7025.966667
충청북도 영동군,15159.09091,7025.966667
충청북도 옥천군,8710.526316,7025.966667
충청북도 음성군,8550,7025.966667
충청북도 제천시,11652.03252,7025.966667
충청북도 증평군,10951.38889,7025.966667
충청북도 진천군,8314.393939,7025.966667
충청북도 청주시 상당구,15185.48387,7025.966667
충청북도 청주시 서원구,21469.69697,7025.966667
충청북도 청주시 청원구,17489.58333,7025.966667
충청북도 청주시 흥덕구,9186.666667,7025.966667
충청북도 충주시,9365.853659,7025.966667
